,ticker,ceo,website,industry_category,industry_group,sec_filings
597,DHR,Thomas Patrick Joyce,www.danaher.com,Manufacturing,Diversified Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DHR&owner=exclude&action=getcompany
598,DIN,Richard J. Dahl,www.dineequity.com,Leisure,Restaurants,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DIN&owner=exclude&action=getcompany
599,DIOD,Keh-Shew Lu,www.diodes.com,Electronics,Semiconductor - Integrated Circuits,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DIOD&owner=exclude&action=getcompany
600,DIS,Robert A. Iger,www.thewaltdisneycompany.com,Media,Entertainment - Diversified,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DIS&owner=exclude&action=getcompany
601,DISCA,David M. Zaslav,corporate.discovery.com,Media,CATV Systems,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DISCA&owner=exclude&action=getcompany
602,DISH,Charles William Ergen,www.dish.com,Media,CATV Systems,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DISH&owner=exclude&action=getcompany
603,DK,Ezra Uzi Yemin,www.delekus.com,Energy,Oil & Gas Refining & Marketing,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DK&owner=exclude&action=getcompany
604,DKL,Ezra Uzi Yemin,www.deleklogistics.com,Energy,Independent Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DKL&owner=exclude&action=getcompany
605,DKS,Edward W. Stack,www.dickssportinggoods.com,Specialty Retail,Sporting Goods Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DKS&owner=exclude&action=getcompany
606,DLB,Kevin J. Yeaman,www.dolby.com,Electronics,Diversified Electronics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLB&owner=exclude&action=getcompany
607,DLPH,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLPH&owner=exclude&action=getcompany
608,DLR,Arthur William Stein,www.digitalrealty.com,Real Estate,REIT - Office,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLR&owner=exclude&action=getcompany
609,DLTH,Stephanie L. Pugliese,www.duluthtrading.com,Retail,Apparel Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLTH&owner=exclude&action=getcompany
610,DLTR,Bob Sasser,www.dollartreeinfo.com,Retail,"Discount, Variety Stores",https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLTR&owner=exclude&action=getcompany
611,DLX,Lee J. Schram,www.deluxe.com,Diversified Services,Business Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DLX&owner=exclude&action=getcompany
612,DMLP,William Casey McManemin,www.dmlp.net,Financial Services,Diversified Investments,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DMLP&owner=exclude&action=getcompany
613,DNKN,Nigel Travis,www.dunkinbrands.com,Leisure,Restaurants,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DNKN&owner=exclude&action=getcompany
614,DNLI,N/A,N/A,nm,nm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DNLI&owner=exclude&action=getcompany
615,DNOW,Robert R. Workman,www.distributionnow.com,Energy,Oil & Gas Equipment & Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DNOW&owner=exclude&action=getcompany
616,DNR,Philip M. Rykhoek,www.denbury.com,Energy,Independent Oil & Gas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DNR&owner=exclude&action=getcompany
617,DO,Marc G. R. Edwards,www.diamondoffshore.com,Energy,Oil & Gas Drilling & Exploration,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DO&owner=exclude&action=getcompany
618,DOC,John T. Thomas,www.docreit.com,Real Estate,REIT - Healthcare Facilities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DOC&owner=exclude&action=getcompany
619,DOOR,Frederick J. Lynch,www.masonite.com,Materials & Construction,General Building Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DOOR&owner=exclude&action=getcompany
620,DORM,Steven L. Berman,www.dormanproducts.com,Automotive,Auto Parts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DORM&owner=exclude&action=getcompany
621,DOV,Robert A. Livingston,www.dovercorporation.com,Manufacturing,Diversified Machinery,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DOV&owner=exclude&action=getcompany
622,DOVA,nm,nm,Drugs,Biotechnology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DOVA&owner=exclude&action=getcompany
