,ticker,fund_aum,asset_class,focus,development_level,region,is_levered,options_available
1377,HFXI,564957346.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
1378,HFXE,164257020.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1379,HFXJ,34596797.0,Equity,Broad Equity,Developed Markets,Asia-Pacific,0.0,0.0
1380,EMBH,5148000.0,Fixed Income,Investment Grade,Emerging Markets,Emerging Markets,0.0,0.0
1381,IGBH,0.0,Fixed Income,Investment Grade,Developed Markets,North America,0.0,0.0
1382,NFLT,132825097.0,Fixed Income,Unconstrained,Blended Development,Global,0.0,0.0
1383,HDAW,22928065.0,Equity,High Dividend Yield,Blended Development,Global Ex-U.S.,0.0,0.0
1384,HDEF,23830024.0,Equity,High Dividend Yield,Developed Markets,Developed Markets,0.0,0.0
1385,EWRE,17738500.0,Real Estate,Real Estate,Developed Markets,North America,0.0,0.0
1386,NAIL,44745000.0,Equity,Consumer Discretionary,Developed Markets,North America,1.0,0.0
1387,DPST,49075000.0,Equity,Financials,Developed Markets,North America,1.0,0.0
1388,WDRW,2293725.0,Equity,Financials,Developed Markets,North America,1.0,0.0
1389,GRMY,2303023.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1390,EURZ,2338503.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1391,OEUR,47414250.0,Equity,Large Cap,Developed Markets,Europe,0.0,0.0
1392,CRAK,28520000.0,Equity,Energy,Blended Development,Global,0.0,0.0
1393,CIL,22084949.0,Equity,Broad Equity,Developed Markets,Global Ex-U.S.,0.0,0.0
1394,CID,42134466.0,Equity,High Dividend Yield,Developed Markets,Global Ex-U.S.,0.0,0.0
1395,VTEB,2637167626.0,Fixed Income,Broad Municipals,Developed Markets,North America,0.0,0.0
1396,XCEM,8980799.0,Equity,Broad Equity,Emerging Markets,Emerging Markets,0.0,0.0
1397,IBMJ,184325730.0,Fixed Income,Broad Municipals,Developed Markets,North America,0.0,0.0
1398,IBMK,191483100.0,Fixed Income,Broad Municipals,Developed Markets,North America,0.0,0.0
1399,VAMO,32757316.0,Equity,Broad Equity,Developed Markets,North America,0.0,0.0
1400,EUDV,9436339.0,Equity,Broad Equity,Developed Markets,Europe,0.0,0.0
1401,KSA,183204000.0,Equity,Broad Equity,Frontier Markets,Middle East & Africa,0.0,1.0
1402,GSLC,3333539975.0,Equity,Large Cap,Developed Markets,North America,0.0,1.0
1403,SPXE,7638224.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1404,SPXN,1497310.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1405,SPXV,1513811.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1406,SPXT,2807056.0,Equity,Large Cap,Developed Markets,North America,0.0,0.0
1407,UTES,13616136.0,Equity,Utilities,Developed Markets,North America,0.0,0.0
