,0,1
1250,BAC,BCS
1251,BAC,BBT
1252,BAC,WFC
1253,BAC,TCF
1254,BAC,JPM
1255,BAC,USB
1256,BAC,C
1257,BAC,SPY
1258,BAH,MANT
1259,BAH,ICFI
1260,BAH,CACI
1261,BAH,NOC
1262,BAH,RTN
1263,BAH,ACN
1264,BAH,LDOS
1265,BAH,SAIC
1266,BAH,DXC
1267,BAH,SPY
1268,BANC,WAFD
1269,BANC,PROV
1270,BANC,RVSB
1271,BANC,TSBK
1272,BANC,BYFC
1273,BANC,FFNW
1274,BANC,TBNK
1275,BANC,FSBW
1276,BANC,SPY
1277,BAND,XLK
1278,BAND,SPY
1279,BANF,IBOC
1280,BANF,BOKF
1281,BANF,HWC
1282,BANF,SFNC
1283,BANF,IBKC
1284,BANF,PNFP
1285,BANF,CFR
1286,BANF,MSL
1287,BANF,SPY
1288,BANR,UMPQ
1289,BANR,COLB
1290,BANR,HFWA
1291,BANR,EWBC
1292,BANR,FFNW
1293,BANR,SPY
1294,BAX,ICUI
1295,BAX,HALO
1296,BAX,CAH
1297,BAX,OMI
1298,BAX,BDX
1299,BAX,BSX
1300,BAX,SYK
1301,BAX,TMO
1302,BAX,ZBH
1303,BAX,MDT
1304,BAX,XLV
1305,BAX,SPY
1306,BBBY,FLWS
1307,BBBY,KIRK
1308,BBBY,ETH
1309,BBBY,PIR
1310,BBBY,TJX
1311,BBBY,WSM
